Query,Outputs,Correct,Comments
Oppo A6 Smartphones,"Oppo A6 5G 128 GB Storage Sakura Pink (4 GB RAM), Oppo A6 5G 128 GB Storage Ice White (4 GB RAM), Oppo A6 5G 128 GB Storage Sapphire Blue (4 GB RAM), Oppo A6 5G 128 GB Storage Sakura Pink (6 GB RAM), Oppo A6 5G 128 GB Storage Ice White (6 GB RAM), Oppo A6 5G 128 GB Storage Sapphire Blue (6 GB RAM), Oppo A6 5G 256 GB Storage Sakura Pink (6 GB RAM), Oppo A6 5G 256 GB Storage Ice White (6 GB RAM), Oppo A6 5G 256 GB Storage Sapphire Blue (6 GB RAM), Oppo A6 Pro 5G 128 GB Storage Aurora Gold (8 GB RAM)",,
Bajaj Bike,"Joy e-Bike Nemo (Grey), Honda Shine BS6 Drum (Black) 125 cc, Yamaha R15 V4 M (Metallic Grey), Hero Super Splendor XTEC 2.0 Drum (Black Heavy Grey) 2026, Suzuki Gixxer 150 Single Channel ABS BS6 (Metallic Triton Blue), Royal Enfield Bullet 350 Standard (Bullet Silver), Yezdi Scrambler 350 OG Yellow 2026, TVS XL100 Heavy Duty i-Touch Start (Black), Jawa 42 Single Disc BS6 (All Star Black), Okinawa Ridge Plus Gps (Silver)",,
Water Purifier,"Livpure Sereno-SS 8-Stage RO + UV + UF + Minerals + Copper, 5.5 L Stainless Steel Tank Water Purifier (Black), Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Whirlpool Minerala 90 Elite RO 85 L Water Purifier Grey (Minerala 90 Elite RO), Eureka Forbes 8 L Water Purifier White (AG UTC RO), Hindware 7 Liters Storage Water Purifier Black (WR-17071NNN), LG 8 L Water Purifier RED (WW163EP), Kent 9 L Storage Water Purifier White (Grand Star 11070), AO Smith 5 L Water Purifier White (X3 RO), Luminous 8 Litres Storage Water Purifier (ENVY PLUS), Lloyd 7 L Water Purifier Navy Blue (GHWRPMD015)",,
I Phone 17,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
iphone 17,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
Apple Laptops,"MacBook Neo A18 Pro Chip 8 GB RAM 256 GB SSD 13 inch Citrus, MacBook Neo A18 Pro Chip 8 GB RAM 512 GB SSD 13 inch Citrus, MacBook Neo A18 Pro Chip 8 GB RAM 256 GB SSD 13 inch Indigo, MacBook Neo A18 Pro Chip 8 GB RAM 512 GB SSD 13 inch Indigo, MacBook Neo A18 Pro Chip 8 GB RAM 256 GB SSD 13 inch Blush, MacBook Neo A18 Pro Chip 8 GB RAM 512 GB SSD 13 inch Blush, MacBook Neo A18 Pro Chip 8 GB RAM 256 GB SSD 13 inch Silver, MacBook Neo A18 Pro Chip 8 GB RAM 512 GB SSD 13 inch Silver, 13-inch MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Starlight, 13-inch MacBook Air: Apple M2 chip with 8-core CPU and 8-core GPU, 16GB, 256GB - Midnight",,
Hero Hf Deluxe Bikes,"Hero Hf Deluxe Flex Fuel 2026 (Black With Lime Yellow), Hero Hf Deluxe I3S Drum Brake Self Start (Black Grey Stripe), Hero Hf Deluxe I3S Drum Brake Self Start (Black Grey Stripe), Hero Hf Deluxe I3S Drum Brake Self Start (Sports Red Black), Hero Hf Deluxe I3S Drum Brake Self Start (Sports Red Black), Hero Hf Deluxe I3S Drum Brake Self Start (Candy Blazing Red), Hero Hf Deluxe I3S Drum Brake Self Start (Candy Blazing Red), Hero Hf Deluxe I3S Drum Brake Self Start (Black Nexus Blue), Hero Hf Deluxe I3S Drum Brake Self Start (Black Nexus Blue), Hero Hf Deluxe Drum Brake Self Start (Black Grey Stripe)",,
Apple Iphone 17 Smartphones,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
Apple Iphone 15 Smartphones,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
I phone,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
Samsung S26 Ulta,"Ultra 3 Burners Gas Stove Stainless steel Black (Optiflame 3G), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (BH1073SQHTDB), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (CT1035USBL)",,
Vivo Y31 Smartphones,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo Y31 128 GB Storage Ocean Blue (6 GB RAM), vivo Y31 128 GB Storage Racing Black (6 GB RAM), vivo Y31 Pro 5G 256 GB Storage Dreamy White (8 GB RAM), vivo Y31 Pro 5G 128 GB Storage Mocha Brown (8 GB RAM), vivo Y31 Pro 5G 128 GB Storage Mocha Brown (8 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (4 GB RAM)",,
samsung s26 ultra,"Ultra 3 Burners Gas Stove Stainless steel Black (Optiflame 3G), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (BH1073SQHTDB), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (CT1035USBL)",,
Vivo T2x,"Vivo T2X 128 GB Storage Aurora Gold (8 GB RAM), Vivo T2X 128 GB Storage Glimmer Black (8 GB RAM), Vivo T2X 128 GB Storage Marine Blue (8 GB RAM), Vivo T2X 128 GB Storage Black Gladiator (8 GB RAM), vivo T2X 5G 128GB Storage Glimmer Black (8 GB RAM), vivo T2X 5G 128GB Storage Glimmer Black (6 GB RAM), vivo T2X 5G 128GB Storage Aurora Gold (6 GB RAM), vivo T2X 5G 128GB Storage Marine Blue (6 GB RAM), vivo T2X 5G 128 GB Storage Glimmer Black (4 GB RAM), vivo T2X 5G 128GB Storage Aurora Gold (4 GB RAM)",,
Apple Iphone 13 Smartphones,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
Apple Iphone 13 Smartphones,"iPhone 13 128 GB - Midnight, iPhone 13 128 GB - Starlight, iPhone 13 128 GB - Pink, iPhone 13 128 GB - PRODUCT RED, iPhone 13 128 GB - Blue, iPhone 13 256 GB - Midnight, iPhone 13 256 GB - Starlight, iPhone 13 256 GB - Pink, iPhone 13 256 GB - PRODUCT RED, iPhone 13 256 GB - Blue",,
Apple Iphone 17pro,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
Google Pixel 10,"Google Pixel 10 Pro Fold 256 GB Storage Moonstone (16 GB RAM), Google Pixel 10 5G 256 GB Storage Frost (12 GB RAM), Google Pixel 10 5G 256 GB Storage Lemongrass (12 GB RAM), Google Pixel 10 5G 256 GB Storage Obsidian (12 GB RAM), Google Pixel 10 5G 256 GB Storage Indigo (12 GB RAM), Google Pixel 10 5G Pro 256 GB Storage Procelain (12 GB RAM), Google Pixel 10 5G Pro 256 GB Storage Obsidian (12 GB RAM), Google Pixel 10 5G Pro 256 GB Storage Jade (12 GB RAM), Google Pixel 10 5G Pro 256 GB Storage Moonstone (12 GB RAM), Google Pixel 10 5G Pro XL 256 GB Storage Obsidian (12 GB RAM)",,
Mobail Emi Pay,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi 15A 64 GB Storage Black (4 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola G37 Power 128 GB Storage Pantone Impenetrable Black (8 GB RAM), Mi A3 128 GB Storage Kind of Grey (6 GB RAM), Infinix Smart 20 64 GB Storage Black (4 GB RAM)",,
Laptop Loan,"DELL Intel Core i3 9th Gen 4 GB RAM/1 TB HDD+/ Windows 10 Home/ 18.5 inch Laptop (Black,255205WIN8), Lenovo LOQ Intel Core i5 16 GB RAM/ 512 GB SSD/ Windows 11 Home/ 15.6 inch Gaming Laptop (Luna Grey, 83GS00PJIN), Asus AMD Ryzen 7 16 GB RAM/ 512 GB SSD/ Win 11/ 15.6 inch Laptop (Graphite Black, FA506NCG-HN200WS), Acer AMD Ryzen7 512 GB 16 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Silver (UN35MSI00D), MSI Intel Core i5/ 16 GB RAM/ 512 GB SSD/ Windows 11 Home/ 15.6 inch Laptop (Classic Black, Modern 15 B13M-1200IN), HP Intel Core i3 512 GB 8 GB RAM 512 GB SSD Windows 11 Home 15.6 inch Laptop Natural Silver (15-fd0489TU # B6MC8PA), Mi Notebook 14 Intel Core i5 10th Gen 8 GB DDR4 RAM/256 GB SSD/Windows 10 Home/14 inch Laptop (Silver, Mi Notebook 14 8+256 i5 27749), Microsoft Surface Pro Intel Core i5 7th Gen 4 GB RAM/ 128 GB SSD/ Windows 10 Home/ 12.3 inch Laptop (Silver,Surface LP FSU029 7Gi5 4GBN 128SSD), LG Gram 17 Intel Core i7 10th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/17 inch Laptop (Dark Silver, 17Z90N-V.AH75A2), Realme Book Slim Intel Core i5 11th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/14 inch Laptop (Real Blue, RMNB1002)",,
IPhone 17,"iPhone 17 256 GB - Black, iPhone 17 256 GB - White, iPhone 17 256 GB - Mist Blue, iPhone 17 256 GB - Lavender, iPhone 17 256 GB - Sage, iPhone 17 512 GB - Black, iPhone 17 512 GB - White, iPhone 17 512 GB - Mist Blue, iPhone 17 512 GB - Lavender, iPhone 17 512 GB - Sage",,
Apple Iphone 15 Smartphones,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
Mobile Loan,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi 15A 64 GB Storage Black (4 GB RAM), vivo Y11 5G 128 GB Storage Midnight Blue (4 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola G37 Power 128 GB Storage Pantone Impenetrable Black (8 GB RAM), Mi A3 128 GB Storage Kind of Grey (6 GB RAM), Infinix Smart 20 64 GB Storage Black (4 GB RAM)",,
mobile emi pay,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi 15A 64 GB Storage Black (4 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola G37 Power 128 GB Storage Pantone Impenetrable Black (8 GB RAM), Mi A3 128 GB Storage Kind of Grey (6 GB RAM), Infinix Smart 20 64 GB Storage Black (4 GB RAM)",,
Oneplus Smartphones,"OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Pitch Black (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Pitch Black (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Quick Silver (12 GB RAM), OnePlus Nord 6 5G 256 GB Storage Quick Silver (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Fresh Mint (8 GB RAM)",,
Vivo Vivot5x5G Smartphones,"vivo Y21 5G 128 GB Storage Midnight Blue (6 GB RAM), vivo Y21 5G 128 GB Storage Champagne Gold (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM)",,
vivo vivot5x5 g smartphones,"vivo Y21 5G 128 GB Storage Midnight Blue (6 GB RAM), vivo Y21 5G 128 GB Storage Champagne Gold (6 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM)",,
Iphone 17 Pro Max,"iPhone 17 Pro Max 256 GB - Silver, iPhone 17 Pro Max 256 GB - Cosmic Orange, iPhone 17 Pro Max 256 GB - Deep Blue, iPhone 17 Pro Max 512 GB - Silver, iPhone 17 Pro Max 512 GB - Cosmic Orange, iPhone 17 Pro Max 512 GB - Deep Blue, iPhone 17 Pro Max 1 TB - Silver, iPhone 17 Pro Max 1 TB - Cosmic Orange, iPhone 17 Pro Max 1 TB - Deep Blue, iPhone 17 Pro Max 2 TB - Silver",,
realme mobile P4,"realme P4 Power 5G 128 GB Storage Trans Silver (8 GB RAM), realme P4 Power 5G 256 GB Storage Trans Silver (8 GB RAM), realme P4 Power 5G 256 GB Storage Trans Orange (8 GB RAM), realme P4 Power 5G 256 GB Storage Trans Orange (12 GB RAM), realme P4 Power 5G 256 GB Storage Trans Silver (12 GB RAM), realme P4 Power 5G 128 GB Storage Trans Blue (8 GB RAM), realme P4 Power 5G 256 GB Storage Trans Blue (8 GB RAM), Realme P4 5G 128 GB Storage Engine Blue (6 GB RAM), Realme P4 5G 128 GB Storage Forge Red (6 GB RAM), Realme P4 5G 128 GB Storage Steel Grey (6 GB RAM)",,
Dynasty Sofa,"Dynasty Classic 3 + 1 + 1 + Puffy Carved Teakwood Sofa (Caramel), Dynasty Classic 3 + 1 + 1 + Puffy Carved Teakwood Sofa (Caramel), Elite King Size Beds Teakwood Cot with MDF 6 + 6.5 Feet NK 11 K (Cappucino), Elite King Size Beds Teakwood Cot with MDF 6 + 6.5 Feet NK 11 K (Cappucino), Elite Teakwood King Size Beds Cot with MDF 6 + 6.5 Feet UHL 05K (Wenge), Elite Teakwood King Size Beds Cot with MDF 6 + 6.5 Feet UHL 05K (Wenge), Dynasty Sultan 3 + 2 + 2 Carved Rock wood Sofa (Sandal), Dynasty Jordan 3 + 2 + 2 Carved Rockwood Sofa (Caramel), Dynasty Roman 3 + 2 + 2 Carved Rockwood Sofa (Caramel), Elite Wesley Corner Sofa (Brown)",,
Iqoo,"iQOO Z10 Lite 5G 128 GB Storage Cyber Green (6 GB RAM), iQOO Z10 Lite 5G 128 GB Storage Titanium Blue (6 GB RAM), iQOO Z6 44W 128 GB Storage Lumina Blue (4 GB RAM), iQOO Z6 44W 128 GB Storage Raven Black (4 GB RAM), iQOO Z6 44W 128 GB Storage Lumina Blue (6 GB RAM), iQOO Z6 44W 128 GB Storage Lumina Blue (8 GB RAM), iQOO Z6 5G 128 GB Storage Chromatic Blue (4 GB RAM), iQOO Z6 5G 128 GB Storage Chromatic Blue (6 GB RAM), iQOO 7 5G 128 GB Storage Storm Black (8 GB RAM), iQOO 7 5G 128 GB Storage Solid Ice (8 GB RAM)",,
led haier,"Haier 170.1 cm (67 inch) (4K) Ultra HD LED Black (LE65K6500UB), Haier 109.22 cm (43 inch) Full HD Smart TV Silver (LE43F9000AP), Haier 80 cm (31.5 inch) HD Ready LED TV (LE32B9200WB), Haier 139.7 cm (55 inch) (4K) Ultra HD Curved QLED Smart TV (LE55Q9800QUAG), Haier 139.7 cm (55 inch) (4K) Ultra HD LED Smart TV (LE55X7000QUA), Haier 165.1 cm (65 inch) Ultra HD (4k) Smart LED TV (LE65U6500UAG), Haier 139.7 cm (55 Inch) Ultra HD (4K) LED Smart TV Silver (LE55U6500UAG), Haier 81.28 cm (32 inch) HD Ready LED Black (LE32K6000B), Haier 81.28 cm (32 inch) HD Ready LED Black (LE32K6000B), Haier 81.28 cm (32 inch) HD Ready LED Black (LE32D2000)",,
Iphone 16Pro,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
Iphone 16Pro,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
Oppo K13 Tutbo,"OPPO K13 Turbo Pro 5g 256 GB Storage Midnight Maverick (8 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Purple Phantom (8 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Silver Knight (8 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Midnight Maverick (12 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Midnight Maverick (12 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Purple Phantom (12 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Purple Phantom (12 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Silver Knight (12 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Silver Knight (12 GB RAM), OPPO K13 Turbo 5G 128 GB Storage Midnight Maverick (8 GB RAM)",,
oppo k13 turbo,"OPPO K13 Turbo Pro 5g 256 GB Storage Midnight Maverick (8 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Purple Phantom (8 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Silver Knight (8 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Midnight Maverick (12 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Midnight Maverick (12 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Purple Phantom (12 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Purple Phantom (12 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Silver Knight (12 GB RAM), OPPO K13 Turbo Pro 5g 256 GB Storage Silver Knight (12 GB RAM), OPPO K13 Turbo 5G 128 GB Storage Midnight Maverick (8 GB RAM)",,
iphone 15 Pro,"iPhone 15 128 GB - Black, iPhone 15 128 GB - Pink, iPhone 15 128 GB - Yellow, iPhone 15 128 GB - Blue, iPhone 15 128 GB - Green, iPhone 15 256 GB - Black, iPhone 15 256 GB - Pink, iPhone 15 256 GB - Yellow, iPhone 15 256 GB - Blue, iPhone 15 256 GB - Green",,
Vivo,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM), vivo X300 Ultra 5G 512 GB Storage Eclipse Black (16 GB RAM), vivo X300 Ultra 5G 512 GB Storage Victory Green (16 GB RAM)",,
Iphon,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
iphone,"iPhone 17e 256 GB - Black, iPhone 17e 256 GB - White, iPhone 17e 256 GB - Soft Pink, iPhone 17e 512 GB - Black, iPhone 17e 512 GB - White, iPhone 17e 512 GB - Soft pink, iPhone Air 256 GB - Space Black, iPhone Air 256 GB - Cloud White, iPhone Air 256 GB - Light Gold, iPhone Air 256 GB - Sky Blue",,
Bajaj Bike Emi Check,"Joy e-Bike Nemo (Grey), Honda Shine BS6 Drum (Black) 125 cc, Yamaha R15 V4 M (Metallic Grey), Hero Super Splendor XTEC 2.0 Drum (Black Heavy Grey) 2026, Suzuki Gixxer 150 Single Channel ABS BS6 (Metallic Triton Blue), Royal Enfield Bullet 350 Standard (Bullet Silver), Yezdi Scrambler 350 OG Yellow 2026, TVS XL100 Heavy Duty i-Touch Start (Black), Jawa 42 Single Disc BS6 (All Star Black), Okinawa Ridge Plus Gps (Silver)",,
I phone17 pro,"iPhone 17 Pro Max 256 GB - Silver, iPhone 17 Pro Max 256 GB - Cosmic Orange, iPhone 17 Pro Max 256 GB - Deep Blue, iPhone 17 Pro Max 512 GB - Silver, iPhone 17 Pro Max 512 GB - Cosmic Orange, iPhone 17 Pro Max 512 GB - Deep Blue, iPhone 17 Pro Max 1 TB - Silver, iPhone 17 Pro Max 1 TB - Cosmic Orange, iPhone 17 Pro Max 1 TB - Deep Blue, iPhone 17 Pro Max 2 TB - Silver",,
Oneplus N6 Smartphones,"OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Pitch Black (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Pitch Black (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Quick Silver (12 GB RAM), OnePlus Nord 6 5G 256 GB Storage Quick Silver (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Fresh Mint (8 GB RAM)",,
Battery Table Fan,"Usha Hunter Bayport 1067 mm Ceiling Fan (Bright brass), HAVELLS Hestio 2900 Watts PTC Fan Oil Filled Room Heater Black (GHROFCKK290), LG 1200 mm 3 Blade Ceiling Fan White (FC48GSPA0), Kuhl 1320 mm Aluminium Ceiling fan White (KUHL LEXUS C5 WHITE BLDC CEILING FAN- 119023W), Croma 2000 Watts Fan Room Heater White (Croma 2400W 9 Fin OFR CRSC09FOFA254201), Usha Hunter Savoy 1320 mm Ceiling Fan (Antique Brass), HAVELLS Hestio 2900 Watts PTC Fan Oil Filled Room Heater Black (GHROFCLK290), LG 1200 mm 3 Blade Ceiling Fan Silver (FC48GSSA1), Kuhl 1500 mm Aluminium Ceiling fan Brown (KUHL PLATIN D8 WHITE BLDC CEILING FAN- 119032W), Croma 2900 Watts Fan Room Heater Black (CROMA 11 FIN 2900 W OFR CRSC11FRHA334901)",,
samsung s25 Ultra,"Ultra 3 Burners Gas Stove Stainless steel Black (Optiflame 3G), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (BH1073SQHTDB), Geln 3 Burner Ultra Silm Glass Manual Gas Stove Black (CT1035USBL)",,
Vivo V70fe,"vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), vivo Y31 5G 128 GB Storage Diamond Green (6 GB RAM), vivo X300 FE 5G 256 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 256 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 256 GB Storage Lilac Purple (12 GB RAM), vivo X300 FE 5G 512 GB Storage Urban Olive (12 GB RAM), vivo X300 FE 5G 512 GB Storage Noir Black (12 GB RAM), vivo X300 FE 5G 512 GB Storage Lilac Purple (12 GB RAM), vivo X300 Ultra 5G 512 GB Storage Eclipse Black (16 GB RAM), vivo X300 Ultra 5G 512 GB Storage Victory Green (16 GB RAM)",,
